District,Name of Veterinary Hospital,Hospital Type
Thiruvananthapuram,"VD-PONGUMOODU,SREEKARIYAM,6",VETERINARY DISPENSARY
Thiruvananthapuram,"VD-PULIMATH,PULIMATH,PULLAYIL,695505",VETERINARY DISPENSARY
Thiruvananthapuram,"VD-PULIMOODU,KILIMANOOR,PONGANADU,695601",VETERINARY DISPENSARY
Thiruvananthapuram,"VD-SREEKARIYAM,SREEKARIYAM,CHEMBAZHANTHI,695587",VETERINARY DISPENSARY
Thiruvananthapuram,"VD-THIRUPURAM,THIRUPURAM,THIRUPURAM,695133",VETERINARY DISPENSARY
Thiruvananthapuram,"VD-THRIKKANNAPURAM,ARAMADA,695032",VETERINARY DISPENSARY
Thiruvananthapuram,"VD-UZHAMALACKAL,UZHAMALACKAL,PUTHUKULANGARA,695541",VETERINARY DISPENSARY
Thiruvananthapuram,"VD-VAKKOM,VAKKOM,VAKKOM,695308",VETERINARY DISPENSARY
Thiruvananthapuram,"VD-VARKALA,VARKALA,615141",VETERINARY DISPENSARY
Thiruvananthapuram,"VD-VELLANAD,VELLANAD,VELLANAD,695543",VETERINARY DISPENSARY
Thiruvananthapuram,"VD-VENKULAM,EDAVA,EDAVA,695311",VETERINARY DISPENSARY
Thiruvananthapuram,"VD-VETTIKUZHI,KALLIYUR,NEMOM,695020",VETERINARY DISPENSARY
Thiruvananthapuram,"VD-VETTOOR,CHERUNIYOOR,NEDUNGANDA,695307",VETERINARY DISPENSARY
Thiruvananthapuram,"VD-VILAPPIL,VILAVURKKAL,MALAYAM,695571",VETERINARY DISPENSARY
Thiruvananthapuram,"VD-VILAVOORKAL,VILAVURKKAL,MALAYAM,695571",VETERINARY DISPENSARY
Thiruvananthapuram,"VD-VITHURA,VITHURA,VITHURA,695551",VETERINARY DISPENSARY
Thiruvananthapuram,"VD-VIZHINJAM,VIZHINJAM,VIZHINJAM,695521",VETERINARY DISPENSARY
Thiruvananthapuram,"VD-VLATHANKARA,CHENKAL,CHENKAL,695132",VETERINARY DISPENSARY
Thiruvananthapuram,"VH- VATTIYOORKAVU,VATTIYOORKAVU P.O,695013",VETERINARY HOSPITAL
Thiruvananthapuram,"VH-ARYANAD,ARYANAD,ARYANAD,695542",VETERINARY HOSPITAL
Thiruvananthapuram,"VH-ATTINGAL,ATTINGAL,695101",VETERINARY HOSPITAL
